"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"ACUTE PULMONARY OEDEMA","POOLED","ACUTE PULMONARY OEDEMA","急性肺水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","33","33","14748","5386","19886312","14781","5419","19906479","8.26","5.87","11.64","8.25","208.88","3.04","2.69","4.0237","7.41","4.09","1","1","1","1","1","1","8.26 (5.87, 11.64)"
"Livedo reticularis","POOLED","Livedo reticularis","网状青斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","12","12","14769","1970","19889728","14781","1982","19906479","8.2","4.65","14.47","8.2","75.38","3.03","2.45","1.4717","6.34","3.13","1","1","1","1","1","1","8.20 (4.65, 14.47)"
"Oropharyngeal discomfort","POOLED","Oropharyngeal discomfort","口咽不适感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","50","50","14731","8244","19883454","14781","8294","19906479","8.19","6.2","10.82","8.16","312.47","3.02","2.74","6.1585","7.58","4.29","1","1","1","1","1","1","8.19 (6.20, 10.82)"
"Renal tubular necrosis","POOLED","Renal tubular necrosis","肾小管坏死","Renal and urinary disorders","肾脏及泌尿系统疾病","56","56","14725","9311","19882387","14781","9367","19906479","8.12","6.24","10.57","8.09","346.26","3.01","2.74","6.9552","7.58","4.31","1","1","1","1","1","1","8.12 (6.24, 10.57)"
"Blood pressure decreased","POOLED","Blood pressure decreased","血压降低","Investigations","各类检查","363","363","14418","62916","19828782","14781","63279","19906479","7.93","7.15","8.81","7.76","2133.78","2.95","2.84","46.9861","7.65","4.52","1","1","1","1","1","1","7.93 (7.15, 8.81)"
"NEPHROPATHY","POOLED","NEPHROPATHY","肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","52","52","14729","8942","19882756","14781","8994","19906479","7.85","5.97","10.31","7.83","307.94","2.96","2.68","6.6782","7.31","4.14","1","1","1","1","1","1","7.85 (5.97, 10.31)"
"HYPOAESTHESIA ORAL","POOLED","HYPOAESTHESIA ORAL","口腔感觉减退","Gastrointestinal disorders","胃肠系统疾病","83","83","14698","14298","19877400","14781","14381","19906479","7.85","6.32","9.75","7.81","490.54","2.96","2.74","10.6782","7.47","4.31","1","1","1","1","1","1","7.85 (6.32, 9.75)"
"EYE SWELLING","POOLED","EYE SWELLING","眼肿","Eye disorders","眼器官疾病","198","198","14583","35041","19856657","14781","35239","19906479","7.69","6.68","8.86","7.6","1131.3","2.92","2.78","26.1657","7.44","4.37","1","1","1","1","1","1","7.69 (6.68, 8.86)"
"PULSELESS ELECTRICAL ACTIVITY","POOLED","PULSELESS ELECTRICAL ACTIVITY","无脉性电活动","Cardiac disorders","心脏器官疾病","22","22","14759","3886","19887812","14781","3908","19906479","7.63","5.02","11.6","7.62","125.81","2.92","2.49","2.9018","6.61","3.53","1","1","1","1","1","1","7.63 (5.02, 11.60)"
"Chest discomfort","POOLED","Chest discomfort","胸部不适","General disorders and administration site conditions","全身性疾病及给药部位各种反应","520","520","14261","95840","19795858","14781","96360","19906479","7.53","6.9","8.22","7.3","2826.53","2.86","2.77","71.5494","7.22","4.27","1","1","1","1","1","1","7.53 (6.90, 8.22)"
"PRURITUS","POOLED","PRURITUS","瘙痒","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","1744","1744","13037","348118","19543580","14781","349862","19906479","7.51","7.14","7.9","6.74","8638.01","2.75","2.7","259.7803","6.7","3.98","1","1","1","1","1","1","7.51 (7.14, 7.90)"
"Ear swelling","POOLED","Ear swelling","耳肿","Ear and labyrinth disorders","耳及迷路类疾病","11","11","14770","1973","19889725","14781","1984","19906479","7.51","4.15","13.58","7.5","61.66","2.9","2.3","1.4732","5.83","2.84","1","1","1","1","1","1","7.51 (4.15, 13.58)"
"Erythema","POOLED","Erythema","红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","1012","1012","13769","194320","19697378","14781","195332","19906479","7.45","6.99","7.94","7.01","5237.48","2.8","2.74","145.0383","6.96","4.12","1","1","1","1","1","1","7.45 (6.99, 7.94)"
"Hyperpyrexia","POOLED","Hyperpyrexia","高热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","21","21","14760","3830","19887868","14781","3851","19906479","7.39","4.81","11.35","7.38","115.19","2.88","2.44","2.8595","6.4","3.4","1","1","1","1","1","1","7.39 (4.81, 11.35)"
"Yawning","POOLED","Yawning","打呵欠","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","14","14","14767","2561","19889137","14781","2575","19906479","7.36","4.35","12.45","7.36","76.49","2.87","2.34","1.912","6.01","3.04","1","1","1","1","1","1","7.36 (4.35, 12.45)"
"Ear pruritus","POOLED","Ear pruritus","耳瘙痒","Ear and labyrinth disorders","耳及迷路类疾病","17","17","14764","3174","19888524","14781","3191","19906479","7.22","4.48","11.62","7.21","90.42","2.84","2.36","2.3694","6.1","3.17","1","1","1","1","1","1","7.22 (4.48, 11.62)"
"ARTERIOSPASM CORONARY","POOLED","ARTERIOSPASM CORONARY","冠状动脉痉挛","Cardiac disorders","心脏器官疾病","20","20","14761","3743","19887955","14781","3763","19906479","7.2","4.64","11.18","7.19","106.05","2.84","2.39","2.7941","6.22","3.29","1","1","1","1","1","1","7.20 (4.64, 11.18)"
"ERYTHEMA MULTIFORME","POOLED","ERYTHEMA MULTIFORME","多形性红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","47","47","14734","8841","19882857","14781","8888","19906479","7.17","5.38","9.56","7.15","247.61","2.83","2.54","6.5995","6.69","3.77","1","1","1","1","1","1","7.17 (5.38, 9.56)"
"Pallor","POOLED","Pallor","苍白","Vascular disorders","血管与淋巴管类疾病","138","138","14643","26145","19865553","14781","26283","19906479","7.16","6.05","8.47","7.1","720.83","2.82","2.65","19.5157","6.92","4.04","1","1","1","1","1","1","7.16 (6.05, 8.47)"
"Induration","POOLED","Induration","硬结","General disorders and administration site conditions","全身性疾病及给药部位各种反应","9","9","14772","1722","19889976","14781","1731","19906479","7.04","3.65","13.55","7.03","46.34","2.81","2.14","1.2853","5.32","2.5","1","1","1","1","1","1","7.04 (3.65, 13.55)"
"Oxygen saturation decreased","POOLED","Oxygen saturation decreased","血氧饱和度降低","Investigations","各类检查","266","266","14515","52099","19839599","14781","52365","19906479","6.98","6.18","7.88","6.87","1331.12","2.77","2.65","38.8822","6.77","3.98","1","1","1","1","1","1","6.98 (6.18, 7.88)"
"Eye oedema","POOLED","Eye oedema","眼睛水肿","Eye disorders","眼器官疾病","12","12","14769","2323","19889375","14781","2335","19906479","6.96","3.94","12.27","6.95","60.84","2.79","2.21","1.7338","5.6","2.77","1","1","1","1","1","1","6.96 (3.94, 12.27)"
"Vein rupture","POOLED","Vein rupture","静脉破裂","Vascular disorders","血管与淋巴管类疾病","8","8","14773","1559","19890139","14781","1567","19906479","6.91","3.45","13.84","6.91","40.2","2.78","2.07","1.1635","5.11","2.34","1","1","1","1","1","1","6.91 (3.45, 13.84)"
"COLD SWEAT","POOLED","COLD SWEAT","冷汗","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","86","86","14695","16863","19874835","14781","16949","19906479","6.9","5.58","8.53","6.86","428.95","2.77","2.56","12.585","6.61","3.82","1","1","1","1","1","1","6.90 (5.58, 8.53)"
"Skin induration","POOLED","Skin induration","皮肤硬结","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","10","10","14771","1957","19889741","14781","1967","19906479","6.88","3.7","12.81","6.88","49.97","2.78","2.14","1.4605","5.36","2.57","1","1","1","1","1","1","6.88 (3.70, 12.81)"
"Toxic skin eruption","POOLED","Toxic skin eruption","中毒性皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","49","49","14732","9619","19882079","14781","9668","19906479","6.87","5.19","9.11","6.86","243.94","2.77","2.48","7.1787","6.45","3.64","1","1","1","1","1","1","6.87 (5.19, 9.11)"
"Respiratory distress","POOLED","Respiratory distress","呼吸窘迫","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","133","133","14648","26277","19865421","14781","26410","19906479","6.86","5.78","8.15","6.81","657.01","2.76","2.59","19.61","6.64","3.87","1","1","1","1","1","1","6.86 (5.78, 8.15)"
"Lip discolouration","POOLED","Lip discolouration","唇变色","Gastrointestinal disorders","胃肠系统疾病","6","6","14775","1188","19890510","14781","1194","19906479","6.8","3.05","15.17","6.8","29.52","2.76","1.94","0.8866","4.69","2","1","1","1","1","1","1","6.80 (3.05, 15.17)"
"Respiratory arrest","POOLED","Respiratory arrest","呼吸停止","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","133","133","14648","26847","19864851","14781","26980","19906479","6.72","5.66","7.97","6.67","638.35","2.73","2.56","20.0332","6.5","3.79","1","1","1","1","1","1","6.72 (5.66, 7.97)"
"LOCALISED OEDEMA","POOLED","LOCALISED OEDEMA","局部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","22","22","14759","4435","19887263","14781","4457","19906479","6.68","4.4","10.17","6.68","105.66","2.73","2.31","3.3094","5.91","3.15","1","1","1","1","1","1","6.68 (4.40, 10.17)"
"Dermatitis allergic","POOLED","Dermatitis allergic","过敏性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","57","57","14724","11513","19880185","14781","11570","19906479","6.68","5.15","8.68","6.66","273.14","2.73","2.46","8.591","6.32","3.6","1","1","1","1","1","1","6.68 (5.15, 8.68)"
"SKIN TIGHTNESS","POOLED","SKIN TIGHTNESS","皮肤紧缩感","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","22","22","14759","4460","19887238","14781","4482","19906479","6.65","4.37","10.11","6.64","104.86","2.72","2.3","3.328","5.88","3.14","1","1","1","1","1","1","6.65 (4.37, 10.11)"
"Rash maculo-papular","POOLED","Rash maculo-papular","斑丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","101","101","14680","20840","19870858","14781","20941","19906479","6.56","5.39","7.98","6.52","470.44","2.7","2.5","15.5492","6.32","3.67","1","1","1","1","1","1","6.56 (5.39, 7.98)"
"Suffocation feeling","POOLED","Suffocation feeling","窒息感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","11","11","14770","2375","19889323","14781","2386","19906479","6.24","3.45","11.28","6.23","48.11","2.63","2.03","1.7717","5.06","2.47","1","1","1","1","1","1","6.24 (3.45, 11.28)"
"Oxygen therapy","POOLED","Oxygen therapy","氧治疗","Surgical and medical procedures","各种手术及医疗操作","7","7","14774","1517","19890181","14781","1524","19906479","6.21","2.96","13.06","6.21","30.46","2.63","1.87","1.1316","4.6","2.04","1","1","1","1","1","1","6.21 (2.96, 13.06)"
"LIP SWELLING","POOLED","LIP SWELLING","唇部肿胀","Gastrointestinal disorders","胃肠系统疾病","144","144","14637","31438","19860260","14781","31582","19906479","6.21","5.27","7.33","6.16","621.15","2.62","2.45","23.4503","6.03","3.52","1","1","1","1","1","1","6.21 (5.27, 7.33)"
"BLINDNESS TRANSIENT","POOLED","BLINDNESS TRANSIENT","一过性失明","Eye disorders","眼器官疾病","32","32","14749","6987","19884711","14781","7019","19906479","6.17","4.36","8.74","6.16","137.84","2.62","2.26","5.2118","5.69","3.14","1","1","1","1","1","1","6.17 (4.36, 8.74)"
"Swollen tongue","POOLED","Swollen tongue","肿舌","Gastrointestinal disorders","胃肠系统疾病","131","131","14650","29641","19862057","14781","29772","19906479","5.99","5.04","7.12","5.95","537.6","2.57","2.39","22.1064","5.82","3.39","1","1","1","1","1","1","5.99 (5.04, 7.12)"
"Chills","POOLED","Chills","寒战","General disorders and administration site conditions","全身性疾病及给药部位各种反应","479","479","14302","111730","19779968","14781","112209","19906479","5.93","5.41","6.5","5.77","1891.18","2.52","2.43","83.3177","5.72","3.38","1","1","1","1","1","1","5.93 (5.41, 6.50)"
"Apnoea","POOLED","Apnoea","呼吸暂停","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","33","33","14748","7513","19884185","14781","7546","19906479","5.92","4.21","8.34","5.91","134.11","2.56","2.21","5.6031","5.49","3.03","1","1","1","1","1","1","5.92 (4.21, 8.34)"
"SWELLING FACE","POOLED","SWELLING FACE","面部肿胀","General disorders and administration site conditions","全身性疾病及给药部位各种反应","265","265","14516","61582","19830116","14781","61847","19906479","5.88","5.2","6.64","5.79","1049.16","2.53","2.4","45.9228","5.72","3.37","1","1","1","1","1","1","5.88 (5.20, 6.64)"
"Hypopnoea","POOLED","Hypopnoea","呼吸不足","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","14","14","14767","3253","19888445","14781","3267","19906479","5.8","3.43","9.8","5.79","55.27","2.53","1.99","2.4258","4.96","2.51","1","1","1","1","1","1","5.80 (3.43, 9.80)"
"Pruritus generalised","POOLED","Pruritus generalised",,,,"92","92","14689","21496","19870202","14781","21588","19906479","5.79","4.71","7.11","5.76","360.71","2.52","2.31","16.0296","5.6","3.24","1","1","1","1","1","1","5.79 (4.71, 7.11)"
"Rash pustular","POOLED","Rash pustular","脓疱疹","Infections and infestations","感染及侵染类疾病","30","30","14751","7046","19884652","14781","7076","19906479","5.74","4.01","8.22","5.73","116.68","2.51","2.15","5.2541","5.3","2.91","1","1","1","1","1","1","5.74 (4.01, 8.22)"
"ANGIOEDEMA","POOLED","ANGIOEDEMA","血管性水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","175","175","14606","41663","19850035","14781","41838","19906479","5.71","4.92","6.63","5.65","668.78","2.49","2.34","31.0656","5.56","3.26","1","1","1","1","1","1","5.71 (4.92, 6.63)"
"Post procedural complication","POOLED","Post procedural complication","操作后并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","78","78","14703","18545","19873153","14781","18623","19906479","5.68","4.55","7.11","5.66","298.31","2.5","2.27","13.828","5.48","3.15","1","1","1","1","1","1","5.68 (4.55, 7.11)"
"Vomiting projectile","POOLED","Vomiting projectile","喷射样呕吐","Gastrointestinal disorders","胃肠系统疾病","11","11","14770","2635","19889063","14781","2646","19906479","5.62","3.11","10.17","5.62","41.59","2.49","1.88","1.9647","4.67","2.27","1","1","1","1","1","1","5.62 (3.11, 10.17)"
"Lacrimation increased","POOLED","Lacrimation increased","流泪增加","Eye disorders","眼器官疾病","114","114","14667","27862","19863836","14781","27976","19906479","5.54","4.61","6.67","5.51","419.3","2.46","2.27","20.7728","5.38","3.13","1","1","1","1","1","1","5.54 (4.61, 6.67)"
"Dermatitis exfoliative","POOLED","Dermatitis exfoliative","剥脱性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","20","20","14761","4898","19886800","14781","4918","19906479","5.5","3.54","8.54","5.5","73.26","2.45","2","3.6517","4.94","2.61","1","1","1","1","1","1","5.50 (3.54, 8.54)"
"Mouth swelling","POOLED","Mouth swelling","口肿胀","Gastrointestinal disorders","胃肠系统疾病","22","22","14759","5404","19886294","14781","5426","19906479","5.49","3.61","8.34","5.48","80.24","2.45","2.02","4.0289","4.97","2.65","1","1","1","1","1","1","5.49 (3.61, 8.34)"
"POOR QUALITY DRUG ADMINISTERED","POOLED","POOR QUALITY DRUG ADMINISTERED",,,,"26","26","14755","6414","19885284","14781","6440","19906479","5.46","3.72","8.03","5.46","94.25","2.44","2.05","4.7818","5.02","2.72","1","1","1","1","1","1","5.46 (3.72, 8.03)"
"RESPIRATORY RATE DECREASED","POOLED","RESPIRATORY RATE DECREASED","呼吸频率降低","Investigations","各类检查","12","12","14769","3018","19888680","14781","3030","19906479","5.35","3.04","9.44","5.35","42.29","2.42","1.84","2.2498","4.55","2.25","1","1","1","1","1","1","5.35 (3.04, 9.44)"
"Dermatitis bullous","POOLED","Dermatitis bullous","大疱性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","27","27","14754","6828","19884870","14781","6855","19906479","5.33","3.65","7.78","5.32","94.41","2.41","2.02","5.09","4.92","2.68","1","1","1","1","1","1","5.33 (3.65, 7.78)"
"Hyperthermia","POOLED","Hyperthermia","体温过高","General disorders and administration site conditions","全身性疾病及给药部位各种反应","28","28","14753","7166","19884532","14781","7194","19906479","5.27","3.63","7.64","5.26","96.22","2.39","2.01","5.3417","4.88","2.66","1","1","1","1","1","1","5.27 (3.63, 7.64)"
